Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating
ID0001,01-01-2015 09:12,Diane,Washing Machine,Y,Y,109,0 days 00:02:23,3
ID0002,01-01-2015 09:12,Becky,Air Conditioner,Y,N,70,0 days 00:04:02,3
ID0003,01-01-2015 09:47,Stewart,Washing Machine,Y,Y,10,0 days 00:02:11,3
ID0004,01-01-2015 09:47,Greg,Washing Machine,Y,Y,53,0 days 00:00:37,2
ID0005,01-01-2015 10:00,Becky,Toaster,Y,Y,95,0 days 00:01:00,3
ID0006,01-01-2015 10:00,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0007,01-01-2015 10:22,Diane,Toaster,Y,Y,24,0 days 00:03:40,2
ID0008,01-01-2015 10:22,Diane,Toaster,Y,Y,22,0 days 00:00:38,4
ID0009,01-01-2015 11:13,Greg,Fridge,Y,Y,15,0 days 00:06:38,4
ID0010,01-01-2015 11:13,Jim,Television,Y,Y,78,0 days 00:01:04,3
ID0011,01-01-2015 11:15,Joe,Toaster,N,N,0,0 days 00:00:00,0
ID0012,01-01-2015 11:15,Greg,Toaster,Y,Y,50,0 days 00:00:32,4
ID0013,01-01-2015 11:52,Joe,Toaster,Y,Y,84,0 days 00:03:34,3
ID0014,01-01-2015 11:52,Martha,Washing Machine,Y,Y,89,0 days 00:05:44,3
ID0015,01-01-2015 11:55,Becky,Fridge,Y,Y,48,0 days 00:03:47,4
ID0016,01-01-2015 11:55,Becky,Fridge,Y,Y,63,0 days 00:05:26,2
ID0017,01-01-2015 11:57,Greg,Air Conditioner,Y,Y,45,0 days 00:05:32,5
ID0018,01-01-2015 11:57,Becky,Fridge,N,N,0,0 days 00:00:00,0
ID0019,01-01-2015 12:01,Jim,Television,N,N,0,0 days 00:00:00,0
ID0020,01-01-2015 12:01,Jim,Washing Machine,Y,Y,101,0 days 00:02:27,3
ID0021,01-01-2015 12:02,Jim,Air Conditioner,Y,Y,74,0 days 00:05:22,5
ID0022,01-01-2015 12:02,Dan,Fridge,Y,Y,89,0 days 00:05:50,5
ID0023,01-01-2015 12:02,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0024,01-01-2015 12:02,Joe,Air Conditioner,Y,Y,68,0 days 00:05:25,2
ID0025,01-01-2015 12:30,Diane,Television,Y,Y,97,0 days 00:04:09,3
ID0026,01-01-2015 12:30,Dan,Toaster,N,N,0,0 days 00:00:00,0
ID0027,01-01-2015 12:40,Joe,Television,Y,Y,39,0 days 00:04:00,3
ID0028,01-01-2015 12:40,Martha,Washing Machine,Y,Y,51,0 days 00:02:34,4
ID0029,01-01-2015 12:40,Joe,Air Conditioner,Y,Y,106,0 days 00:02:09,4
ID0030,01-01-2015 12:40,Stewart,Television,Y,Y,107,0 days 00:05:55,3
ID0031,01-01-2015 13:24,Joe,Fridge,Y,Y,22,0 days 00:05:08,3
ID0032,01-01-2015 13:24,Joe,Television,Y,Y,122,0 days 00:02:08,4
ID0033,01-01-2015 13:33,Diane,Air Conditioner,Y,Y,57,0 days 00:06:49,3
ID0034,01-01-2015 13:33,Jim,Toaster,Y,N,53,0 days 00:01:44,2
ID0035,01-01-2015 13:42,Becky,Television,Y,Y,119,0 days 00:01:31,5
ID0036,01-01-2015 13:42,Diane,Television,N,N,0,0 days 00:00:00,0
ID0037,01-01-2015 13:42,Martha,Air Conditioner,Y,N,20,0 days 00:01:12,2
ID0038,01-01-2015 13:42,Joe,Air Conditioner,Y,Y,52,0 days 00:00:36,3
ID0039,01-01-2015 14:38,Stewart,Washing Machine,Y,Y,74,0 days 00:06:41,1
ID0040,01-01-2015 14:38,Greg,Air Conditioner,Y,Y,49,0 days 00:02:29,3
ID0041,01-01-2015 14:47,Jim,Air Conditioner,Y,Y,27,0 days 00:02:09,5
ID0042,01-01-2015 14:47,Greg,Washing Machine,Y,Y,100,0 days 00:04:54,5
ID0043,01-01-2015 14:47,Diane,Air Conditioner,Y,Y,45,0 days 00:06:21,3
ID0044,01-01-2015 14:47,Becky,Toaster,Y,Y,98,0 days 00:03:14,5
ID0045,01-01-2015 15:44,Diane,Fridge,Y,Y,25,0 days 00:05:13,5
ID0046,01-01-2015 15:44,Jim,Washing Machine,N,N,0,0 days 00:00:00,0
ID0047,01-01-2015 17:13,Dan,Fridge,Y,Y,107,0 days 00:02:22,3
